problemId,titleKo,titleEn,acceptedUserCount,level,sprout,averageTries,tags
6800,Huffman Encoding,Huffman Encoding,91,8,False,1.4286,"[{'tagBOJ': 175, 'tagSA': 'data_structures'}, {'tagBOJ': 33, 'tagSA': 'greedy'}, {'tagBOJ': 136, 'tagSA': 'hash_set'}]"
6801,Firehose,Firehose,10,13,False,2.6,"[{'tagBOJ': 33, 'tagSA': 'greedy'}, {'tagBOJ': 170, 'tagSA': 'parametric_search'}]"
6802,Animal Farm,Animal Farm,6,15,False,2.1667,"[{'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 49, 'tagSA': 'mst'}]"
6803,Nutrient Tree,Nutrient Tree,3,17,False,3.6667,"[{'tagBOJ': 25, 'tagSA': 'dp'}]"
6804,Barking Dogs!,Barking Dogs!,2,15,False,1.5,"[{'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 141, 'tagSA': 'simulation'}]"
6805,Tree Pruning,Tree Pruning,2,18,False,1.0,"[{'tagBOJ': 25, 'tagSA': 'dp'}]"
6806,Wowow,Wowow,10,16,False,2.3,"[{'tagBOJ': 175, 'tagSA': 'data_structures'}, {'tagBOJ': 65, 'tagSA': 'segtree'}, {'tagBOJ': 74, 'tagSA': 'tree_set'}]"
6807,Computer Purchase Return,Computer Purchase Return,5,14,False,1.0,"[{'tagBOJ': 25, 'tagSA': 'dp'}, {'tagBOJ': 148, 'tagSA': 'knapsack'}]"
6808,Space Miner,Space Miner,9,13,False,3.3333,"[{'tagBOJ': 100, 'tagSA': 'geometry'}, {'tagBOJ': 131, 'tagSA': 'geometry_3d'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
6809,Shuffle,Shuffle,28,8,False,1.8571,"[{'tagBOJ': 39, 'tagSA': 'exponentiation_by_squaring'}, {'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 124, 'tagSA': 'math'}, {'tagBOJ': 158, 'tagSA': 'string'}]"
6810,ISBN,ISBN,2603,2,False,1.4775,"[{'tagBOJ': 121, 'tagSA': 'arithmetic'}, {'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
