problemId,titleKo,titleEn,acceptedUserCount,level,sprout,averageTries,tags
25200,곰곰이와 자판기,,124,16,False,2.4677,"[{'tagBOJ': 175, 'tagSA': 'data_structures'}]"
25201,보드 뒤집기 게임,,105,16,False,1.3238,"[{'tagBOJ': 109, 'tagSA': 'ad_hoc'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
25202,Colors,Colors,1,23,False,1.0,"[{'tagBOJ': 175, 'tagSA': 'data_structures'}, {'tagBOJ': 81, 'tagSA': 'disjoint_set'}, {'tagBOJ': 24, 'tagSA': 'divide_and_conquer'}, {'tagBOJ': 65, 'tagSA': 'segtree'}]"
25203,Squirrel,Squirrel,0,0,False,0.0,[]
25204,문자열 정렬,Sorting Strings,73,7,False,2.3562,"[{'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 97, 'tagSA': 'sorting'}, {'tagBOJ': 158, 'tagSA': 'string'}]"
25205,경로당펑크 2077,,792,4,False,1.4912,"[{'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 158, 'tagSA': 'string'}]"
25206,너의 평점은,,23305,6,False,2.2716,"[{'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 124, 'tagSA': 'math'}, {'tagBOJ': 158, 'tagSA': 'string'}]"
25207,바벨탑의 저주,,60,20,False,5.6,"[{'tagBOJ': 127, 'tagSA': 'dfs'}, {'tagBOJ': 150, 'tagSA': 'euler_tour_technique'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 11, 'tagSA': 'graph_traversal'}, {'tagBOJ': 8, 'tagSA': 'hashing'}, {'tagBOJ': 44, 'tagSA': 'manacher'}, {'tagBOJ': 158, 'tagSA': 'string'}, {'tagBOJ': 120, 'tagSA': 'trees'}]"
25208,새벽의 탐정 게임,,120,14,False,3.2417,"[{'tagBOJ': 126, 'tagSA': 'bfs'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 11, 'tagSA': 'graph_traversal'}, {'tagBOJ': 102, 'tagSA': 'implementation'}]"
25209,샤카샤카,,36,17,False,4.6389,"[{'tagBOJ': 137, 'tagSA': 'case_work'}, {'tagBOJ': 102, 'tagSA': 'implementation'}]"
25210,정사각형 세기,,56,14,False,2.7857,"[{'tagBOJ': 124, 'tagSA': 'math'}]"
