problemId,titleKo,titleEn,acceptedUserCount,level,sprout,averageTries,tags
23800,많이 튼튼한 금고 테스트,,22,20,False,6.0455,"[{'tagBOJ': 117, 'tagSA': 'arbitrary_precision'}, {'tagBOJ': 6, 'tagSA': 'combinatorics'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
23801,두 단계 최단 경로 2,,222,13,False,4.2973,"[{'tagBOJ': 22, 'tagSA': 'dijkstra'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 215, 'tagSA': 'shortest_path'}]"
23802,골뱅이 찍기 - 뒤집힌 ㄱ,,1129,3,False,1.2808,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23803,골뱅이 찍기 - ㄴ,,1248,3,False,1.2236,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23804,골뱅이 찍기 - ㄷ,,1183,3,False,1.2401,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23805,골뱅이 찍기 - 돌아간 ㄹ,,899,3,False,1.1891,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23806,골뱅이 찍기 - ㅁ,,1141,3,False,1.149,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23807,두 단계 최단 경로 3,,108,14,False,5.8519,"[{'tagBOJ': 125, 'tagSA': 'bruteforcing'}, {'tagBOJ': 22, 'tagSA': 'dijkstra'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 215, 'tagSA': 'shortest_path'}]"
23808,골뱅이 찍기 - ㅂ,,1039,3,False,1.127,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23809,골뱅이 찍기 - 돌아간 ㅈ,,771,3,False,1.393,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23810,골뱅이 찍기 - 뒤집힌 ㅋ,,887,3,False,1.1567,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23811,골뱅이 찍기 - ㅌ,,948,3,False,1.1772,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23812,골뱅이 찍기 - 돌아간 ㅍ,,1027,3,False,1.1324,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
23813,회전,,582,4,False,1.4261,"[{'tagBOJ': 121, 'tagSA': 'arithmetic'}, {'tagBOJ': 102, 'tagSA': 'implementation'}, {'tagBOJ': 124, 'tagSA': 'math'}, {'tagBOJ': 158, 'tagSA': 'string'}]"
23814,아 저는 볶음밥이요,,246,8,False,3.3537,"[{'tagBOJ': 121, 'tagSA': 'arithmetic'}, {'tagBOJ': 137, 'tagSA': 'case_work'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
23815,똥게임,,183,12,False,3.8033,"[{'tagBOJ': 25, 'tagSA': 'dp'}, {'tagBOJ': 33, 'tagSA': 'greedy'}]"
23816,옷걸이걸이걸이,,56,13,False,4.375,"[{'tagBOJ': 25, 'tagSA': 'dp'}, {'tagBOJ': 148, 'tagSA': 'knapsack'}]"
23817,포항항,,110,15,False,3.2909,"[{'tagBOJ': 126, 'tagSA': 'bfs'}, {'tagBOJ': 125, 'tagSA': 'bruteforcing'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 11, 'tagSA': 'graph_traversal'}]"
23818,원수의 원수,,75,15,False,2.3867,"[{'tagBOJ': 197, 'tagSA': 'bipartite_graph'}, {'tagBOJ': 175, 'tagSA': 'data_structures'}, {'tagBOJ': 127, 'tagSA': 'dfs'}, {'tagBOJ': 81, 'tagSA': 'disjoint_set'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 11, 'tagSA': 'graph_traversal'}]"
23819,묻고 더블로 마셔,,77,15,False,2.2078,"[{'tagBOJ': 39, 'tagSA': 'exponentiation_by_squaring'}, {'tagBOJ': 124, 'tagSA': 'math'}]"
23820,MEX,,175,14,False,4.6114,"[{'tagBOJ': 124, 'tagSA': 'math'}, {'tagBOJ': 95, 'tagSA': 'number_theory'}]"
23821,땅따먹기,,19,16,False,2.7895,"[{'tagBOJ': 126, 'tagSA': 'bfs'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 11, 'tagSA': 'graph_traversal'}, {'tagBOJ': 139, 'tagSA': 'prefix_sum'}]"
23822,Black Friday,,14,22,False,5.0714,"[{'tagBOJ': 45, 'tagSA': 'flow'}, {'tagBOJ': 7, 'tagSA': 'graphs'}]"
