problemId,titleKo,titleEn,acceptedUserCount,level,sprout,averageTries,tags
1800,인터넷 설치,Telephone Lines,954,15,False,2.9549,"[{'tagBOJ': 12, 'tagSA': 'binary_search'}, {'tagBOJ': 22, 'tagSA': 'dijkstra'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 170, 'tagSA': 'parametric_search'}, {'tagBOJ': 215, 'tagSA': 'shortest_path'}]"
1801,직사각형 만들기,,183,17,False,3.847,"[{'tagBOJ': 125, 'tagSA': 'bruteforcing'}, {'tagBOJ': 25, 'tagSA': 'dp'}, {'tagBOJ': 148, 'tagSA': 'knapsack'}]"
1802,종이 접기,,1021,10,False,2.665,"[{'tagBOJ': 109, 'tagSA': 'ad_hoc'}, {'tagBOJ': 24, 'tagSA': 'divide_and_conquer'}]"
1803,무술 연습,Teleports,49,15,False,3.6122,"[{'tagBOJ': 213, 'tagSA': 'dag'}, {'tagBOJ': 7, 'tagSA': 'graphs'}, {'tagBOJ': 11, 'tagSA': 'graph_traversal'}, {'tagBOJ': 78, 'tagSA': 'topological_sorting'}]"
1804,랩싸기,Lazy Cows,46,18,False,3.1957,"[{'tagBOJ': 25, 'tagSA': 'dp'}]"
1805,나무수송,Rivers,62,22,False,3.0484,"[{'tagBOJ': 25, 'tagSA': 'dp'}, {'tagBOJ': 92, 'tagSA': 'dp_tree'}, {'tagBOJ': 148, 'tagSA': 'knapsack'}, {'tagBOJ': 120, 'tagSA': 'trees'}]"
1806,부분합,Subsequence,19954,12,False,3.8454,"[{'tagBOJ': 139, 'tagSA': 'prefix_sum'}, {'tagBOJ': 80, 'tagSA': 'two_pointer'}]"
1807,척 노리스,Sequential Thinking,63,14,False,2.6349,"[{'tagBOJ': 12, 'tagSA': 'binary_search'}, {'tagBOJ': 124, 'tagSA': 'math'}, {'tagBOJ': 170, 'tagSA': 'parametric_search'}]"
1808,숌작업,,29,13,False,1.4828,"[{'tagBOJ': 33, 'tagSA': 'greedy'}, {'tagBOJ': 120, 'tagSA': 'trees'}]"
1809,Moo,Moo,4037,1,False,2.0604,"[{'tagBOJ': 102, 'tagSA': 'implementation'}]"
